number,name_stopping,clean_name,pos_vys,po_treb,changed,longitude,latitude
5738,"МЕТРО ""НАРВСКАЯ""","СТ. МЕТРО ""НАРВСКАЯ""",,False,True,30.2739,59.9001
5739,УЛИЦА ЗИНЫ ПОРТНОВОЙ,УЛ. ЗИНЫ ПОРТНОВОЙ,,False,True,30.2562,59.8562
5740,УЛИЦА ШАВРОВА (высадка),УЛ. ШАВРОВА,(ВЫСАДКА),False,True,30.2389,60.0255
5741,ПРОСПЕКТ ЮРИЯ ГАГАРИНА,ПР. ЮРИЯ ГАГАРИНА,,False,True,30.337106,59.865269
5742,БАЙКОНУРСКАЯ УЛИЦА,БАЙКОНУРСКАЯ УЛ.,,False,True,30.279172,60.011436
5743,"МЕТРО ""АВТОВО""","СТ. МЕТРО ""АВТОВО""",,False,True,30.25999,59.86835
5744,БАССЕЙНАЯ УЛИЦА,БАССЕЙНАЯ УЛ.,,False,True,30.34667,59.86464
5745,УЛИЦА ЗАЙЦЕВА,УЛ. ЗАЙЦЕВА,,False,True,30.25941,59.87041
5746,ПРОСПЕКТ СИЗОВА,ПР. СИЗОВА,,False,True,30.274442,60.01195
5747,УНИВЕРСАМ,УНИВЕРСАМ,,False,False,30.2434,60.02173
5748,ТОРГОВЫЙ ЦЕНТР,ТОРГОВЫЙ ЦЕНТР,,False,False,30.34914,59.86064
5749,КОМСОМОЛЬСКАЯ ПЛОЩАДЬ,КОМСОМОЛЬСКАЯ ПЛ.,,False,True,30.2581,59.8749
5750,ДОЛГООЗЁРНАЯ УЛИЦА,ДОЛГООЗЁРНАЯ УЛ.,,False,True,30.2488,60.0172
5751,УЛИЦА МАРШАЛА НОВИКОВА,УЛ. МАРШАЛА НОВИКОВА,,False,True,30.270253,60.012506
5752,ПОЛИКЛИНИКА № 51,ПОЛИКЛИНИКА № 51,,False,False,30.3507,59.857031
5753,"КОМЕНДАНТСКИЙ ПРОСПЕКТ, 22","КОМЕНДАНТСКИЙ ПР., 22",,False,True,30.2525,60.014
5754,ПРОСПЕКТ КОРОЛЁВА,ПР. КОРОЛЁВА,,False,True,30.265031,60.0132
5755,ГОСПИТАЛЬ,ГОСПИТАЛЬ,,False,False,30.4614,59.87952
5756,"НОВОИЗМАЙЛОВСКИЙ ПРОСПЕКТ, 45","НОВОИЗМАЙЛОВСКИЙ ПР., 45",,False,True,30.305,59.8605
5757,"НОВОИЗМАЙЛОВСКИЙ ПРОСПЕКТ, 79","НОВОИЗМАЙЛОВСКИЙ ПР., 79",,False,True,30.3048,59.8564
5758,УЛИЦА КОЗЛОВА,УЛ. КОЗЛОВА,,False,True,30.22337,59.83506
5759,ДАЛЬНЕВОСТОЧНЫЙ ПРОСПЕКТ,ДАЛЬНЕВОСТОЧНЫЙ ПР.,,False,True,30.471186,59.882003
5760,ПЛОЩАДЬ КОНСТИТУЦИИ,ПЛ. КОНСТИТУЦИИ,,False,True,30.3047,59.8534
5761,ТОРГОВЫЙ ЦЕНТР,ТОРГОВЫЙ ЦЕНТР,,False,False,30.23235,59.83789
5762,ПРАВОБЕРЕЖНЫЕ БАНИ,ПРАВОБЕРЕЖНЫЕ БАНИ,,False,False,30.47991,59.88365
5763,КРАСНОПУТИЛОВСКАЯ УЛИЦА,КРАСНОПУТИЛОВСКАЯ УЛ.,,False,True,30.3077,59.8504
5764,ВАРШАВСКАЯ УЛИЦА,ВАРШАВСКАЯ УЛ.,,False,True,30.3122,59.848
5765,УЛИЦА МАРШАЛА ТУХАЧЕВСКОГО (посадка),УЛ. МАРШАЛА ТУХАЧЕВСКОГО,(ПОСАДКА),False,True,30.42232,59.97037
5766,ПРОСПЕКТ БОЛЬШЕВИКОВ,ПР. БОЛЬШЕВИКОВ,,False,True,30.48587,59.88446
5767,"СТАНЦИЯ МЕТРО ""ПРОСПЕКТ ВЕТЕРАНОВ""","СТ. МЕТРО ""ПРОСПЕКТ ВЕТЕРАНОВ""",,False,True,30.2455,59.8427
5768,УЛИЦА ТЕЛЬМАНА,УЛ. ТЕЛЬМАНА,,False,True,30.491206,59.892789
5769,"ВАРШАВСКАЯ УЛИЦА, 75","ВАРШАВСКАЯ УЛ., 75",,False,True,30.3139,59.8441
5770,"ПРОСПЕКТ БОЛЬШЕВИКОВ, 33","ПР. БОЛЬШЕВИКОВ, 33",,False,True,30.491719,59.895181
5771,УЛИЦА КРЫЛЕНКО,УЛ. КРЫЛЕНКО,,False,True,30.488528,59.900822
5772,ДАЧНЫЙ ПРОСПЕКТ,ДАЧНЫЙ ПР.,,False,True,30.25149,59.84537
5773,УЛИЦА КОСТЮШКО (высадка),УЛ. КОСТЮШКО,(ВЫСАДКА),False,True,30.31158,59.8414
5774,УЛИЦА КОСТЮШКО (посадка),УЛ. КОСТЮШКО,(ПОСАДКА),False,True,30.3099,59.84126
5775,"ВАРШАВСКАЯ УЛИЦА, 75","ВАРШАВСКАЯ УЛ., 75",,False,True,30.31425,59.84395
5776,КРАСНОПУТИЛОВСКАЯ УЛИЦА,КРАСНОПУТИЛОВСКАЯ УЛ.,,False,True,30.3129,59.8478
5777,ПЛОЩАДЬ КОНСТИТУЦИИ,ПЛ. КОНСТИТУЦИИ,,False,True,30.3078,59.8505
5778,НОВОИЗМАЙЛОВСКИЙ ПРОСПЕКТ,НОВОИЗМАЙЛОВСКИЙ ПР.,,False,True,30.305,59.8535
5779,"НОВОИЗМАЙЛОВСКИЙ ПРОСПЕКТ, 79","НОВОИЗМАЙЛОВСКИЙ ПР., 79",,False,True,30.3052,59.8568
5780,"НОВОИЗМАЙЛОВСКИЙ ПРОСПЕКТ, 45","НОВОИЗМАЙЛОВСКИЙ ПР., 45",,False,True,30.3054,59.8609
5781,Ж/Д СТАНЦИЯ РУЧЬИ (посадка),"Ж.-Д. СТ. ""РУЧЬИ""",(ПОСАДКА),False,True,30.4386,60.004483
5782,БЛАГОДАТНАЯ УЛИЦА,БЛАГОДАТНАЯ УЛ.,,False,True,30.30656,59.87555
